Country_Year,Country,GeogLoc,IncomeLevel,Year,Domestic_Credit,Corruption_Estimate,Government_Effectiveness,High_Tech_Export_Percentage,MarketCap,Non.performing.Loans,PatentNonResidents,PatentResidents,R.D_Percentage,Trade_Percentage,GDP.per.capita,GDP.constant,Z_Score,AI.Patent.Applications,AI.Publications,AI.Investment,Total_Patents,Patents_per_GDP,AI_Investment_per_GDP,log_Patents_per_GDP,log_RD_Percentage,log_High_Tech_Export,log_GDP_per_Capita,log_Trade_Percentage,log_Credit_Private_Sector,log_AI_Investment_per_GDP,log_AI_Publications,log_Non.performing.Loans
Australia-2019,Australia,East_Asia_and_Pacific,High-Income_Economy,2019,136.2147265,1.788073659,1.538690805,21.21993324,106.8121664,0.961493162,27121,2637,1.828920007,46.18750189,58924.73365,1.49285E+12,13.46988,22.171892,4657,264973486,29758,1.99E-08,0.000177495,1.99E-08,1.039895016,3.100989779,10.98403318,3.854129067,4.921547045,0.00017748,8.44634145,0.673706001
Austria-2013,Austria,Europe_and_Central_Asia,High-income_Economy,2013,92.93733046,1.537276983,1.571379542,15.36906487,27.58480738,2.866541695,244,2162,2.954920053,104.985374,43851.36755,3.71852E+11,27.50797,0.47161964,709,3489523,2406,6.47E-09,9.38E-06,6.47E-09,1.374960387,2.795393265,10.68858399,4.663301104,4.542627863,9.38E-06,6.56526497,1.352360489
Austria-2014,Austria,Europe_and_Central_Asia,High-income_Economy,2014,87.97913898,1.466501832,1.552995682,15.49044901,22.0702317,3.473374315,271,2092,3.084290028,104.49674,43838.83468,3.74662E+11,26.82064,0.233978,701,6867639,2363,6.31E-09,1.83E-05,6.31E-09,1.407147913,2.802781366,10.68829815,4.658680052,4.488401949,1.83E-05,6.553933404,1.498143004
Austria-2015,Austria,Europe_and_Central_Asia,High-income_Economy,2015,85.99478361,1.472043753,1.450979114,15.03273199,25.3142848,3.392837284,236,2205,3.049690008,103.1175817,43915.22802,3.79546E+11,30.07913,0.34706005,815,2286501,2441,6.43E-09,6.02E-06,6.43E-09,1.398640337,2.774632382,10.69003919,4.645520854,4.465848158,6.02E-06,6.704414355,1.479975324
Austria-2016,Austria,Europe_and_Central_Asia,High-income_Economy,2016,83.25938747,1.496880531,1.4748106,14.45325919,30.72913746,2.695217415,237,2078,3.116549969,101.5734946,44362.67029,3.87582E+11,32.52342,1.1444371,915,5645035,2315,5.97E-09,1.46E-05,5.97E-09,1.415015426,2.737819932,10.70017618,4.630579562,4.433899987,1.46E-05,6.820016365,1.307039393
Austria-2017,Austria,Europe_and_Central_Asia,High-income_Economy,2017,84.32787863,1.50082016,1.467751503,12.8851997,36.30670044,2.368895442,232,2073,3.05656004,105.5560668,45056.63869,3.96389E+11,34.54782,1.2501733,941,15476432,2305,5.81E-09,3.90E-05,5.81E-09,1.400335334,2.630823503,10.71569781,4.668671295,4.446501231,3.90E-05,6.848005275,1.214584929
Austria-2018,Austria,Europe_and_Central_Asia,High-income_Economy,2018,84.57071447,1.568587184,1.456116676,11.65007598,25.80790307,2.900956865,168,2039,3.091820002,108.37797,45951.5819,4.06236E+11,35.68405,1.3572124,1093,59350582,2207,5.43E-09,0.000146099,5.43E-09,1.408989859,2.537663222,10.73536532,4.694809498,4.449343104,0.000146088,6.997595983,1.361221873
Austria-2019,Austria,Europe_and_Central_Asia,High-income_Economy,2019,86.02152548,1.521324396,1.492126226,11.48253488,30.04585435,2.410579835,208,2066,3.132469893,108.2072849,46550.56234,4.13365E+11,36.66615,0.6756091,1312,104929501,2274,5.50E-09,0.000253842,5.50E-09,1.418875265,2.524330457,10.74831584,4.693247773,4.466155507,0.00025381,7.180069874,1.226882316
Austria-2020,Austria,Europe_and_Central_Asia,High-income_Economy,2020,92.73321594,1.477709413,1.605863214,12.27189577,30.40607258,2.389045584,173,2124,3.201489925,99.94821411,43428.69831,3.87248E+11,31.84211,1.6813501,1473,148670948,2297,5.93E-09,0.000383917,5.93E-09,1.435439207,2.585648699,10.67889878,4.614607654,4.540452619,0.000383843,7.295735073,1.220548343
Austria-2021,Austria,Europe_and_Central_Asia,High-income_Economy,2021,92.76766494,1.24272728,1.528294683,11.01712214,33.90219668,2.084607907,175,1872,3.25632,111.0322687,45313.399,4.05818E+11,30.90653,1.5612711,1786,2.75E+08,2047,5.04E-09,0.000677644,5.04E-09,1.448404937,2.486332478,10.72138012,4.718786944,4.540820073,0.000677415,7.488293515,1.126424553
Belgium-2013,Belgium,Europe_and_Central_Asia,High-income_economy,2013,56.15834926,1.604317307,1.701954961,10.64061175,71.42295625,4.318537467,161,715,2.330729961,157.5736228,40007.89977,4.46464E+11,14.23736,0.08960351,899,8142221,876,1.96E-09,1.82E-05,1.96E-09,1.203191488,2.454499997,10.5968572,5.066218983,4.045825473,1.82E-05,6.802394763,1.671198353
Belgium-2016,Belgium,Europe_and_Central_Asia,High-income_economy,2016,63.02304191,1.531243801,1.397638321,13.33124516,79.73159467,3.484526643,119,1054,2.523380041,159.0576966,41172.88625,4.66547E+11,16.37894,0.17648038,951,76772478,1173,2.51E-09,0.000164555,2.51E-09,1.259420768,2.66244213,10.62555951,5.075534354,4.159243048,0.000164541,6.858565035,1.500632948
Belgium-2017,Belgium,Europe_and_Central_Asia,High-income_economy,2017,63.96039577,1.404194951,1.240784049,11.49179036,87.3998522,2.961749541,216,1001,2.66666007,166.9040782,41619.32861,4.73426E+11,18.16668,0.17579971,998,318372312,1217,2.57E-09,0.000672485,2.57E-09,1.299281185,2.525071657,10.636344,5.123392853,4.173777788,0.000672259,6.906754779,1.376685731
Belgium-2018,Belgium,Europe_and_Central_Asia,High-income_economy,2018,66.33872465,1.429573298,1.224631786,11.70586406,59.17259803,2.268265705,218,892,2.860179901,168.2776929,42208.36259,4.82317E+11,17.78204,0.6999977,1242,48559567,1110,2.30E-09,0.00010068,2.30E-09,1.350713789,2.542063624,10.65039734,5.13154052,4.209735475,0.000100675,7.125283092,1.184259479
Brazil-2013,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2013,64.23057382,-0.097959608,-0.119030975,11.9698618,41.26687432,2.857282293,25925,4959,1.195670009,25.78595733,9366.739325,1.85909E+12,14.53454,0.19649504,1383,2326349,30884,1.66E-08,1.25E-06,1.66E-08,0.786487243,2.562628343,9.145027079,3.28787777,4.177928283,1.25E-06,7.232733136,1.349962866
Brazil-2014,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2014,66.02851039,-0.36611709,-0.175920635,12.37116887,34.35990128,2.25174733,25683,4659,1.269709945,24.68540581,9338.342783,1.86846E+12,14.76513,0.1649298,1586,21747525,30342,1.62E-08,1.16E-05,1.62E-08,0.819652046,2.593100812,9.141991163,3.245922963,4.205118057,1.16E-05,7.369600721,1.179192492
Brazil-2015,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2015,66.82970064,-0.457840711,-0.255271554,14.48589962,27.21844343,2.846496277,25578,4641,1.370929956,26.95362594,8936.196618,1.80221E+12,15.58268,0.28759065,1867,144049534,30219,1.68E-08,7.99E-05,1.68E-08,0.863282265,2.739929908,9.097977242,3.330546921,4.217000162,7.99E-05,7.532623619,1.347162676
Brazil-2016,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2016,62.19400697,-0.446095586,-0.249387071,16.00016428,42.24322945,3.081576132,22810,5200,1.286370039,24.53368208,8577.843767,1.74317E+12,15.95113,0.3887449,1803,14677091,28010,1.61E-08,8.42E-06,1.61E-08,0.826965424,2.833223007,9.057054424,3.239998446,4.14620947,8.42E-06,7.497761701,1.406483221
Brazil-2017,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2017,59.4843093,-0.559814632,-0.317140609,14.31188922,46.26644878,2.878916366,20178,5480,1.117499948,24.31973437,8628.25309,1.76623E+12,16.98571,0.40546462,2007,129338752,25658,1.45E-08,7.32E-05,1.45E-08,0.750236123,2.7286296,9.062913232,3.231584106,4.102383981,7.32E-05,7.604894481,1.355555828
Brazil-2018,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2018,60.21834794,-0.480954379,-0.520569623,14.74424183,47.82764763,2.597864262,19877,4980,1.167690039,28.87620338,8722.336304,1.79774E+12,16.93262,0.71322083,2451,212582993,24857,1.38E-08,0.00011825,1.38E-08,0.773662102,2.7564747,9.073757047,3.39706229,4.114446947,0.000118243,7.804659297,1.280340409
Brazil-2019,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2019,62.79050494,-0.407892704,-0.234114677,14.06680521,63.38382352,2.655547566,19932,5464,1.210960031,28.89025787,8771.440513,1.81968E+12,18.54721,0.6989452,2812,423957578,25396,1.40E-08,0.000232984,1.40E-08,0.793426824,2.712493994,9.079370326,3.397532603,4.155604354,0.000232957,7.942006808,1.296245895
Brazil-2020,Brazil,Latin_America_and_the_caribbean,Upper-middle_income_economy,2020,68.69615459,-0.429083496,-0.465709209,11.35009427,66.95816531,1.867547667,19058,5280,1.145259976,32.30207855,8435.011433,1.76006E+12,15.71668,0.70928496,3199,811408343,24338,1.38E-08,0.000461013,1.38E-08,0.763260746,2.513663696,9.040264897,3.505619814,4.244145145,0.000460906,8.070906089,1.053457193
Bulgaria-2018,Bulgaria,Europe_and_Central_Asia,High-income_economy,2018,50.35892427,-0.188220024,0.111848846,10.37289026,23.61235968,7.801561773,18,180,0.753790021,128.8655653,7851.725989,55158665587,8.719459,0.5694156,227,130571280,198,3.59E-09,0.002367194,3.59E-09,0.561779172,2.431232476,8.96861601,4.866499802,3.938838714,0.002364397,5.429345629,2.17492918
Bulgaria-2019,Bulgaria,Europe_and_Central_Asia,High-income_economy,2019,49.68226532,-0.181220517,0.173703477,10.85231018,23.31292081,6.621299437,7,186,0.832360029,125.0299631,8206.781294,57248544889,8.123374,0.43007874,309,2119788,193,3.37E-09,3.70E-05,3.37E-09,0.605604769,2.4725228,9.012837922,4.836519681,3.925576053,3.70E-05,5.736572297,2.030946885
Bulgaria-2021,Bulgaria,Europe_and_Central_Asia,High-income_economy,2021,48.08064809,-0.258131921,-0.173440278,10.92447357,20.16685995,5.940594384,6,165,0.772599995,121.1573546,8682.882238,59718632534,7.869337,0.14540754,365,1.00E+06,171,2.86E-09,1.67E-05,2.86E-09,0.572447393,2.478592891,9.06922397,4.805310006,3.893464825,1.67E-05,5.902633333,1.937387417
Chile-2014,Chile,Latin_America_and_the_caribbean,High-income_economy,2014,78.95981238,1.440734148,1.035074949,7.091793651,89.86153142,1.920555294,2653,452,0.376679987,65.63462812,13285.95404,2.37343E+11,9.340874,0.055977907,180,114460656,3105,1.31E-08,0.000482259,1.31E-08,0.319674794,2.090850419,9.494537933,4.199224384,4.381524163,0.000482142,5.198497031,1.071773767
Chile-2015,Chile,Latin_America_and_the_caribbean,High-income_economy,2015,81.14463343,1.182457328,0.91883558,6.722530526,78.51174289,1.719744452,2831,443,0.382959992,59.34911048,13433.9203,2.4245E+11,8.528882,0.22163577,253,0,3274,1.35E-08,0,1.35E-08,0.324226124,2.044142099,9.505612589,4.100146208,4.408481516,0,5.537334267,1.000537925
Chile-2017,Chile,Latin_America_and_the_caribbean,High-income_economy,2017,78.8182469,1.001655817,0.809455633,7.106096475,106.7069326,1.916362509,2469,425,0.356790006,56.02615897,13473.34585,2.5005E+11,8.689783,0.053882606,249,8843675,2894,1.16E-08,3.54E-05,1.16E-08,0.30512162,2.09261643,9.508542849,4.043510092,4.379752136,3.54E-05,5.521460918,1.070337124
Chile-2018,Chile,Latin_America_and_the_caribbean,High-income_economy,2018,82.04966758,0.958202481,0.907178462,6.911410994,85.48799207,1.872014621,2694,406,0.369159997,58.17705063,13763.00688,2.60027E+11,8.552716,0.052929137,277,89565424,3100,1.19E-08,0.000344446,1.19E-08,0.314197411,2.068306147,9.529812267,4.080533809,4.419438833,0.000344387,5.627621114,1.055013742
Chile-2019,Chile,Latin_America_and_the_caribbean,High-income_economy,2019,87.35953697,0.978930891,0.863498628,7.632882021,146.4625165,2.055049193,2799,438,0.342049986,57.61175457,13630.59354,2.61677E+11,7.761494,0.052089445,325,33916606,3237,1.24E-08,0.000129613,1.24E-08,0.294198285,2.155578403,9.520145432,4.070935266,4.481414138,0.000129604,5.786897381,1.116795695
China-2013,China,East_Asia_and_Pacific,Upper-middle_income_economy,2013,134.3150371,-0.355887651,-0.00512069,31.58558133,41.26383585,0.999702805,120200,704936,1.997859955,46.74437558,7056.423092,9.6196E+12,19.63847,1.4184109,24562,140744114,825136,8.58E-08,1.46E-05,8.58E-08,1.097898686,3.4838699,8.861835263,3.865861271,4.907605668,1.46E-05,10.10899652,0.692998572
China-2014,China,East_Asia_and_Pacific,Upper-middle_income_economy,2014,140.2350811,-0.337719589,0.354851633,29.70372718,57.32304948,1.248733356,127042,801135,2.022429943,44.90521595,7532.785301,1.03339E+13,20.26328,1.7896873,26176,1713476018,928177,8.98E-08,0.000165811,8.98E-08,1.106061125,3.424384054,8.927152891,3.826578748,4.950425744,0.000165797,10.17263644,0.810367105
China-2015,China,East_Asia_and_Pacific,Upper-middle_income_economy,2015,152.5840855,-0.29992187,0.41742301,30.43126727,74.02219921,1.673880164,133612,968252,2.057009935,39.46416934,8016.445595,1.10616E+13,23.62905,2.826376,26126,1632561385,1101864,9.96E-08,0.000147589,9.96E-08,1.117437293,3.447803171,8.989375146,3.700416875,5.034248206,0.000147578,10.17072454,0.983530663
China-2016,China,East_Asia_and_Pacific,Upper-middle_income_economy,2016,156.2190874,-0.268094301,0.356383771,30.25452323,65.16989159,1.744479345,133522,1204981,2.100330114,36.89441502,8516.528742,1.18192E+13,21.81829,5.6664543,26491,5686808385,1338503,1.13E-07,0.000481152,1.13E-07,1.131508594,3.442164109,9.049881524,3.63480374,5.057640293,0.000481036,10.18459808,1.009591383
China-2017,China,East_Asia_and_Pacific,Upper-middle_income_economy,2017,154.8827992,-0.291626126,0.416875631,30.91186398,70.76295319,1.744354606,135885,1245709,2.116029978,37.63241324,9053.228725,1.26403E+13,22.5563,10.481078,31257,5181288292,1381594,1.09E-07,0.000409904,1.09E-07,1.136559749,3.462977852,9.11098719,3.654091645,5.049104438,0.00040982,10.35003062,1.009545931
China-2018,China,East_Asia_and_Pacific,Upper-middle_income_economy,2018,157.8090503,-0.286848217,0.496678442,31.54814786,45.51940772,1.832948832,148187,1393815,2.140579939,37.5657841,9619.209475,1.34934E+13,23.32925,19.441738,39363,9731337219,1542002,1.14E-07,0.00072119,1.14E-07,1.144407477,3.482720466,9.171621318,3.652365461,5.067702539,0.00072093,10.58060697,1.041318159
China-2019,China,East_Asia_and_Pacific,Upper-middle_income_economy,2019,165.3903696,-0.312614381,0.544862509,30.8186303,60.01072164,1.861754853,157093,1243568,2.244630098,35.89009603,10155.51088,1.42964E+13,24.55772,30.775816,51258,8123027195,1400661,9.80E-08,0.000568188,9.80E-08,1.177001352,3.460051977,9.225870245,3.607943115,5.114336652,0.000568027,10.84464649,1.051435022
China-2020,China,East_Asia_and_Pacific,Upper-middle_income_economy,2020,182.868059,-0.071028143,0.643971682,31.27661542,83.58510425,1.839619692,152342,1344817,2.40666008,34.7542957,10358.17,1.46164E+13,24.44535,46.329655,58225,10615315084,1497159,1.02E-07,0.00072626,1.02E-07,1.225732363,3.474342987,9.245627397,3.576670421,5.21421843,0.000725996,10.97208727,1.043670132
China-2021,China,East_Asia_and_Pacific,Upper-middle_income_economy,2021,177.2674301,0.030233584,0.807911634,30.21907328,81.01612724,1.727391692,159019,1426644,2.432600021,37.30199087,11223.25535,1.58513E+13,25.01797,59.907295,77180,2.34E+10,1585663,1.00E-07,0.001475339,1.00E-07,1.233317998,3.441029231,9.325832372,3.645501876,5.183284839,0.001474251,11.25390859,1.003345728
Colombia-2015,Colombia,Latin_America_and_the_caribbean,Upper-middle_income_economy,2015,46.88513959,-0.352601826,-0.093739085,9.84934562,29.28711569,2.847672788,1921,321,0.365420014,38.36076412,6248.514905,2.93492E+11,6.413251,0.042580426,400,0,2242,7.64E-09,0,7.64E-09,0.311462084,2.384104767,8.740259125,3.672769486,3.868805218,0,5.993961427,1.347468495
Colombia-2017,Colombia,Latin_America_and_the_caribbean,Upper-middle_income_economy,2017,49.78731554,-0.429829597,-0.140821368,8.962362764,38.95162958,4.179781455,1777,595,0.26109001,35.28291494,6309.677453,3.03692E+11,5.932585,0.041553196,448,1105459,2372,7.81E-09,3.64E-06,7.81E-09,0.231976435,2.298814269,8.749998312,3.591346968,3.927646629,3.64E-06,6.107022888,1.644762865
Colombia-2019,Colombia,Latin_America_and_the_caribbean,Upper-middle_income_economy,2019,46.02450582,-0.283615679,0.032715105,9.048456162,40.8753319,3.149631302,1735,422,0.32201001,37.55853398,6439.963598,3.21406E+11,6.134324,0.040073745,607,6359364,2157,6.71E-09,1.98E-05,6.71E-09,0.279153314,2.307419007,8.770433435,3.65217745,3.850668866,1.98E-05,6.410174882,1.423019487
Croatia-2015,Croatia,Europe_and_Central_Asia,High-Income_Economy,2015,63.16543573,0.199906364,0.457353413,10.70662401,36.10312234,18.1676736,17,169,0.828159988,90.6409411,12285.30326,51005200670,6.566321,0.23902105,211,0,186,3.65E-09,0,3.65E-09,0.60330999,2.460154836,9.416240365,4.517878127,4.161464681,0,5.356586275,2.953225193
Croatia-2018,Croatia,Europe_and_Central_Asia,High-Income_Economy,2018,54.26789971,0.046769924,0.513932765,8.837531015,33.45840057,10.41324602,15,121,0.951250017,99.06781797,14060.71895,56085044234,7.880998,0.4969107,240,6474609,136,2.42E-09,0.000115443,2.42E-09,0.668470201,2.286204766,9.551211416,4.605848136,4.012192265,0.000115436,5.484796933,2.434774612
Croatia-2019,Croatia,Europe_and_Central_Asia,High-Income_Economy,2019,52.91925898,0.052447699,0.456785351,8.289270835,36.53675515,7.411244344,16,195,1.079630017,101.3820133,14641.22988,57823926883,7.937998,0.2508568,266,3179682,211,3.65E-09,5.50E-05,3.65E-09,0.732190002,2.228860061,9.59166509,4.628711046,3.987487723,5.50E-05,5.587248658,2.129569423
France-2013,France,Europe_and_Central_Asia,High-Income_Economy,2013,95.86338004,1.304333687,1.482052445,27.18171776,81.71242169,4.49543408,2196,14690,2.237030029,61.81923387,36256.08669,2.39283E+12,19.35971,0.43486542,4371,56995550,16886,7.06E-09,2.38E-05,7.06E-09,1.174656252,3.338673461,10.49839014,4.140261298,4.573301532,2.38E-05,8.382975849,1.70391758
France-2014,France,Europe_and_Central_Asia,High-Income_Economy,2014,93.90230386,1.287985563,1.412870884,27.47027367,72.90191085,3.725678938,2033,14500,2.275919914,62.19926694,36444.39491,2.4167E+12,16.62016,0.51010555,4815,1420456739,16533,6.84E-09,0.000587766,6.84E-09,1.186598719,3.348860514,10.50357039,4.146292702,4.552847982,0.000587594,8.479698987,1.553011241
France-2015,France,Europe_and_Central_Asia,High-Income_Economy,2015,94.93274648,1.247834802,1.417322278,28.21169085,85.49975263,3.523081212,1994,14306,2.227020025,63.5046872,36702.43237,2.44248E+12,18.60366,0.5391555,5137,398994344,16300,6.67E-09,0.000163356,6.67E-09,1.171559119,3.374569001,10.51062555,4.166737891,4.563647388,0.000163343,8.544419178,1.509193446
France-2016,France,Europe_and_Central_Asia,High-Income_Economy,2016,96.77688049,1.328288913,1.380623579,27.93318016,87.39637044,3.498527459,2012,14206,2.222379923,63.34275644,36920.53429,2.46349E+12,19.79079,1.0140297,5049,806111016,16218,6.58E-09,0.000327223,6.58E-09,1.170120193,3.364989039,10.51655024,4.164224363,4.582688153,0.00032717,8.527143522,1.503750112
France-2017,France,Europe_and_Central_Asia,High-Income_Economy,2017,99.76015418,1.224527001,1.308906794,26.0180219,106.1975443,2.850840821,1832,14415,2.198879957,65.39584816,37580.59793,2.51482E+12,20.00664,1.4857982,5113,1246958224,16247,6.46E-09,0.000495844,6.46E-09,1.162800735,3.296504121,10.53426979,4.195634527,4.612742982,0.000495721,8.539737156,1.34829152
France-2018,France,Europe_and_Central_Asia,High-Income_Economy,2018,102.1651526,1.2815516,1.419718504,25.93478493,85.05789393,2.74917801,1919,14303,2.196660042,66.80226078,38062.4436,2.55621E+12,19.20898,2.8083227,5669,1355351469,16222,6.35E-09,0.000530219,6.35E-09,1.162106528,3.293418571,10.54700961,4.216595539,4.636331128,0.000530078,8.642944397,1.321536619
Greece-2014,Greece,Europe_and_Central_Asia,High-Income_Economy,2014,117.6661733,-0.136098176,0.298027337,11.50603126,23.57911038,29.99453747,19,651,0.839980006,66.43356826,17903.52526,1.95013E+11,5.429644,0.09180065,793,426938246,670,3.44E-09,0.002189286,3.44E-09,0.609754705,2.526211028,9.792808767,4.211142939,4.776314285,0.002186893,6.677083461,3.433810978
Greece-2015,Greece,Europe_and_Central_Asia,High-Income_Economy,2015,113.1978457,-0.119139403,0.145935848,12.92182531,21.62725395,35.70686888,23,550,0.966050029,65.27180114,17980.72982,1.94567E+11,5.945258,0.18482749,786,0,573,2.94E-09,0,2.94E-09,0.676026468,2.633457775,9.797111512,4.193764485,4.737932433,0,6.668228248,3.602963901
Greece-2016,Greece,Europe_and_Central_Asia,High-Income_Economy,2016,108.3914975,-0.134527221,0.12441732,13.72700812,19.24576922,37.35613197,40,606,1.005290031,63.65766259,18049.92892,1.94506E+11,7.967101,0.37121227,852,12419077,646,3.32E-09,6.38E-05,3.32E-09,0.695788704,2.689683095,9.800952426,4.169106622,4.694933167,6.38E-05,6.748759547,3.64691441
Greece-2017,Greece,Europe_and_Central_Asia,High-Income_Economy,2017,100.4186207,-0.112043098,0.239155456,12.11488958,25.25440722,45.96679797,91,498,1.152279973,70.88260667,18352.08841,1.97371E+11,9.335051,1.3018979,797,66327565,589,2.98E-09,0.000336056,2.98E-09,0.766527733,2.573748194,9.817553145,4.275034326,4.619256711,0.000335999,6.682108597,3.849440926
Greece-2018,Greece,Europe_and_Central_Asia,High-Income_Economy,2018,90.98269975,-0.056208048,0.258464664,12.95518895,17.98924175,43.37318589,149,430,1.21370995,79.23816361,18769.03901,2.01446E+11,7.744936,0.83870375,1019,2158203,579,2.87E-09,1.07E-05,2.87E-09,0.794669819,2.635851407,9.840017208,4.384999257,4.521600513,1.07E-05,6.927557906,3.792635366
Greece-2019,Greece,Europe_and_Central_Asia,High-Income_Economy,2019,79.99515502,0.013698228,0.314295799,12.52225556,25.88158115,38.07241693,238,356,1.274960041,80.59010089,19216.676,2.06033E+11,7.77626,0.27988783,1091,11658833,594,2.88E-09,5.66E-05,2.88E-09,0.821962488,2.604336888,9.86358576,4.401707942,4.394389338,5.66E-05,6.995766156,3.665416769
Greece-2020,Greece,Europe_and_Central_Asia,High-Income_Economy,2020,81.02804736,0.031950839,0.402936995,13.25186697,26.64407114,30.81467917,363,400,1.50793004,70.29378645,17486.95138,1.87086E+11,7.356091,0.46731722,1366,18845613,763,4.08E-09,0.000100732,4.08E-09,0.919457728,2.656887914,9.76926743,4.266809177,4.40706123,0.000100727,7.220373837,3.459927792
Greece-2021,Greece,Europe_and_Central_Asia,High-Income_Economy,2021,55.97845446,0.183011442,0.406026542,12.28486815,27.13759884,11.88133295,532,394,1.456419945,88.01266274,19232.96838,2.03277E+11,6.641998,0.66165316,1788,5.80E+07,926,4.56E-09,0.000285325,4.56E-09,0.898704983,2.586625655,9.864433181,4.488778638,4.042673204,0.000285284,7.489412084,2.555779206
